tier,condition,model,n,mean_correctness,se
all,A_raw,llama-8b,60,3.2,0.173
all,A_raw,sonnet-4,60,3.5,0.179
all,B_summaries,llama-8b,60,3.267,0.166
all,B_summaries,sonnet-4,60,3.7,0.169
all,C_wiki,llama-8b,60,2.933,0.178
all,C_wiki,sonnet-4,60,3.133,0.191
factual,A_raw,llama-8b,25,4.12,0.273
factual,A_raw,sonnet-4,25,4.32,0.287
factual,B_summaries,llama-8b,25,3.84,0.293
factual,B_summaries,sonnet-4,25,4.2,0.283
factual,C_wiki,llama-8b,25,3.08,0.369
factual,C_wiki,sonnet-4,25,3.2,0.374
synthesis,A_raw,llama-8b,25,2.48,0.193
synthesis,A_raw,sonnet-4,25,2.84,0.229
synthesis,B_summaries,llama-8b,25,2.72,0.22
synthesis,B_summaries,sonnet-4,25,3.4,0.252
synthesis,C_wiki,llama-8b,25,2.8,0.208
synthesis,C_wiki,sonnet-4,25,3.2,0.252
contradiction,A_raw,llama-8b,10,2.7,0.153
contradiction,A_raw,sonnet-4,10,3.1,0.18
contradiction,B_summaries,llama-8b,10,3.2,0.133
contradiction,B_summaries,sonnet-4,10,3.2,0.2
contradiction,C_wiki,llama-8b,10,2.9,0.18
contradiction,C_wiki,sonnet-4,10,2.8,0.249
